step,mloss,gloss,loss
100.0,0.7242,0.9994,1.7235999999999998
200.0,0.7252,0.9954,1.7206
300.0,0.7147,0.9752,1.6899
400.0,0.6965,0.9085,1.605
500.0,0.6811,0.8414,1.5225
600.0,0.6789,0.7953,1.4742
700.0,0.6758,0.756,1.4318
800.0,0.6763,0.7227,1.399
900.0,0.673,0.6944,1.3674
1000.0,0.6698,0.6792,1.349
1100.0,0.6612,0.6655,1.3267
1200.0,0.6662,0.6449,1.3111000000000002
1300.0,0.6608,0.6256,1.2864
1400.0,0.6515,0.6131,1.2646
1500.0,0.6567,0.6013,1.258
1600.0,0.6535,0.5865,1.24
1700.0,0.6564,0.5727,1.2290999999999999
1800.0,0.654,0.5646,1.2186
1900.0,0.6474,0.5583,1.2057
2000.0,0.649,0.5568,1.2058
2100.0,0.6456,0.5547,1.2003
2200.0,0.6481,0.5515,1.1996
2300.0,0.6441,0.5474,1.1915
2400.0,0.6438,0.5451,1.1889
2500.0,0.6495,0.5443,1.1938
2600.0,0.6472,0.5392,1.1864
2700.0,0.6472,0.5357,1.1829
2800.0,0.653,0.5307,1.1837
2900.0,0.6421,0.5264,1.1684999999999999
3000.0,0.6486,0.5197,1.1683
3100.0,0.6489,0.5109,1.1598000000000002
3200.0,0.6458,0.5045,1.1503
3300.0,0.644,0.5005,1.1444999999999999
3400.0,0.6526,0.4982,1.1507999999999998
3500.0,0.642,0.494,1.1360000000000001
3600.0,0.6389,0.4898,1.1287
3700.0,0.6425,0.4913,1.1338
3800.0,0.6391,0.4894,1.1285
3900.0,0.637,0.4893,1.1263
4000.0,0.6368,0.4861,1.1229
4100.0,0.6385,0.4863,1.1248
4200.0,0.6337,0.485,1.1187
4300.0,0.632,0.4843,1.1163
4400.0,0.641,0.4844,1.1254
4500.0,0.6403,0.4859,1.1261999999999999
4600.0,0.6315,0.4834,1.1149
4700.0,0.6334,0.4824,1.1158
4800.0,0.6339,0.4829,1.1168
4900.0,0.6286,0.4828,1.1114000000000002
5000.0,0.6423,0.4821,1.1244
5100.0,0.6311,0.4825,1.1136
5200.0,0.6306,0.4834,1.114
5300.0,0.6315,0.4828,1.1143
5400.0,0.6377,0.4814,1.1191
5500.0,0.6288,0.4826,1.1114
5600.0,0.6356,0.4813,1.1169
5700.0,0.6312,0.4804,1.1116
5800.0,0.6269,0.4798,1.1067
5900.0,0.6299,0.4813,1.1112
6000.0,0.6374,0.4824,1.1198
6100.0,0.6323,0.4816,1.1139
6200.0,0.6292,0.481,1.1101999999999999
6300.0,0.6267,0.4788,1.1055000000000001
6400.0,0.6278,0.4808,1.1086
6500.0,0.6256,0.4806,1.1062
6600.0,0.6286,0.48,1.1086
6700.0,0.6313,0.4802,1.1115
6800.0,0.6274,0.4798,1.1072
6900.0,0.6318,0.4795,1.1113
7000.0,0.6223,0.4782,1.1005
7100.0,0.6264,0.4796,1.1059999999999999
7200.0,0.6253,0.4789,1.1042
7300.0,0.6235,0.4783,1.1018000000000001
7400.0,0.625,0.479,1.104
7500.0,0.6264,0.4795,1.1058999999999999
7600.0,0.6324,0.4798,1.1122
7700.0,0.6276,0.4791,1.1067
7800.0,0.6272,0.4782,1.1054
7900.0,0.6294,0.4798,1.1092
8000.0,0.6203,0.4769,1.0972
8100.0,0.622,0.4798,1.1018
8200.0,0.6264,0.4783,1.1047
8300.0,0.6275,0.478,1.1055
8400.0,0.6253,0.4786,1.1038999999999999
8500.0,0.6303,0.4778,1.1080999999999999
8600.0,0.6234,0.4789,1.1023
8700.0,0.6277,0.4775,1.1052
8800.0,0.6171,0.477,1.0941
8900.0,0.6279,0.4777,1.1056
9000.0,0.6261,0.478,1.1040999999999999
9100.0,0.6276,0.4775,1.1051
9200.0,0.6303,0.4786,1.1089
9300.0,0.619,0.4773,1.0963
9400.0,0.6291,0.4774,1.1065
9500.0,0.6242,0.4778,1.1019999999999999
9600.0,0.6146,0.4761,1.0907
9700.0,0.6216,0.477,1.0986
9800.0,0.6224,0.4771,1.0995
9900.0,0.6246,0.4765,1.1011
10000.0,0.628,0.476,1.104
10100.0,0.6286,0.4781,1.1067
10200.0,0.6237,0.4772,1.1009
10300.0,0.6257,0.4775,1.1032
10400.0,0.6223,0.4772,1.0995
10500.0,0.6278,0.4761,1.1039
10600.0,0.6262,0.4777,1.1038999999999999
10700.0,0.6288,0.4762,1.105
10800.0,0.6192,0.4743,1.0935
10900.0,0.6227,0.4753,1.098
11000.0,0.6221,0.4763,1.0984
11100.0,0.6212,0.476,1.0972
11200.0,0.621,0.4765,1.0975
11300.0,0.6249,0.4759,1.1008
11400.0,0.618,0.475,1.093
11500.0,0.6221,0.4758,1.0979
11600.0,0.6186,0.4772,1.0958
11700.0,0.6241,0.4764,1.1005
11800.0,0.6196,0.476,1.0956000000000001
11900.0,0.6249,0.4771,1.102
12000.0,0.6248,0.4774,1.1022
12100.0,0.6211,0.4752,1.0963
12200.0,0.6198,0.4759,1.0957
12300.0,0.6215,0.4762,1.0977000000000001
12400.0,0.6219,0.4741,1.096
12500.0,0.6216,0.4762,1.0978
12600.0,0.6264,0.4755,1.1018999999999999
12700.0,0.6161,0.4745,1.0906
12800.0,0.6194,0.4755,1.0949
12900.0,0.6208,0.4761,1.0969
13000.0,0.6193,0.475,1.0943
13100.0,0.6187,0.4742,1.0929
13200.0,0.6187,0.4748,1.0935000000000001
13300.0,0.6192,0.4762,1.0954
13400.0,0.6193,0.4742,1.0935
13500.0,0.6196,0.4744,1.094
13600.0,0.6211,0.4755,1.0966
13700.0,0.622,0.4743,1.0963
